name,description,timestamp,operatingSystem.id,operatingSystem.displayName,cpuCount,memoryGb,disk.sizeGb,disk.speed,networkInfo.primaryNic.id,networkInfo.primaryNic.vlanId,networkInfo.primaryNic.privateIpv4,networkInfo.networkDomainId,sourceImageId,id,datacenterId
DEMO_BW_App_DR,BW 7.4 App Server\n2vCPU x 24GB,2015-11-17T19:39:07.046Z,WIN2012R2DC64,WIN2012R2DC/64,2,24,NULL,NULL,1e352f17-555c-4d7d-98c5-6086c9de389e,94186a28-c6ae-42e6-b39f-f3e0f7063428,10.0.0.23,2ac1ac19-4e98-4d83-a56b-16e866056f49,e1c644ff-ed99-4d22-81ce-a46fc0a4ac1d,d87e2630-6679-4f8e-9fad-6065a7f67e83,NA12
WebStack2,NodeJS Webapp and also part of VIP managed node (2),2015-11-17T19:39:07.046Z,CENTOS664,CENTOS6/64,2,4,NULL,NULL,5a4c06b2-50ba-4a48-885c-09ec9b89d9a1,12a85848-d04d-4f89-a5df-9991d13edd01,10.0.0.12,b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,5d2fa040-bac3-40b8-9de9-005cf94d5f1c,26dab34a-6d8e-460e-be26-29791c3543c0,NA12
MyTestServer,Server Created using PS,2015-11-17T19:39:07.046Z,WIN2012DC64,WIN2012DC/64,2,4,NULL,NULL,92a16728-ef79-4947-8760-83992fe6597d,1e4bbfa2-f641-4b05-917a-71227980e330,192.168.100.8,10ab4770-abcb-4052-8940-1b1ca5941f38,16e862f6-3837-446e-abb8-31f09dcad6f0,13349dc1-2c43-44ea-9a9a-bd22de827983,NA9
MyTestServer1,Server Created using PS,2015-11-17T19:39:07.046Z,WIN2012DC64,WIN2012DC/64,2,4,NULL,NULL,77d9730a-251b-4879-963e-9cfb1674514f,1e4bbfa2-f641-4b05-917a-71227980e330,192.168.100.9,10ab4770-abcb-4052-8940-1b1ca5941f38,16e862f6-3837-446e-abb8-31f09dcad6f0,14deafb3-0c00-41b0-9177-e494e4dd4c28,NA9
MyTestServer3,Server Created using PS,2015-11-17T19:39:07.046Z,WIN2012DC64,WIN2012DC/64,2,4,NULL,NULL,d9ad4224-7de7-46e2-aec5-ee62bc811eb6,1e4bbfa2-f641-4b05-917a-71227980e330,192.168.100.11,10ab4770-abcb-4052-8940-1b1ca5941f38,16e862f6-3837-446e-abb8-31f09dcad6f0,60ebbd6b-79e2-4887-bad0-09f2f76e2045,NA9
MyTestServer2,Server Created using PS,2015-11-17T19:39:07.046Z,WIN2012DC64,WIN2012DC/64,2,4,NULL,NULL,883820d6-a9ac-4e8f-9310-f0ea7d72f9e9,1e4bbfa2-f641-4b05-917a-71227980e330,192.168.100.10,10ab4770-abcb-4052-8940-1b1ca5941f38,16e862f6-3837-446e-abb8-31f09dcad6f0,eef3462d-953d-499a-8597-8697acd27a95,NA9
Puppet client,Puppet agent installed,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,073e41f3-47a2-495c-b40c-62cbb4c8a98d,12a85848-d04d-4f89-a5df-9991d13edd01,10.0.0.13,b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,a4a9e831-1d0d-4d55-a772-9f490e11955e,31d08489-7b4b-4ea4-aba8-e0ff2d5528a5,NA12
Checkit,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,4,8,NULL,NULL,a9e33e72-c40c-4635-8f59-add0d082d4e1,36a93259-5a95-42e4-ae16-79b8bd6fdba7,10.0.0.8,4ba393b5-6f43-41df-a461-54b3304ed00f,615b403b-8c8e-4f61-9617-cab968728dfb,65a8cc51-4167-43bd-a9ff-6d35652fb300,NA9
DT-Admin-Console,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,83514020-849f-4ed5-92e2-1c9dc9790f87,cba70670-22a5-4347-80f7-98fbd7cee4fe,10.0.1.100,8b914f97-80db-4e57-83bf-ff593a41d233,fa24ce11-1a1a-44a4-b7ce-a61ddc314d54,2c94832c-9275-4aa8-96e2-cc55b0d2417d,NA12
Windows2012-production,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,1b4d54d1-af86-44b9-80eb-72bd9a7cac31,1d866e91-bf54-489e-9972-5da26eb74ac8,10.0.0.8,8b914f97-80db-4e57-83bf-ff593a41d233,fa24ce11-1a1a-44a4-b7ce-a61ddc314d54,589d4728-a31a-4c29-b170-cd8fdc50f4f8,NA12
Windows2012-DR,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,a1fba0d0-89af-4a99-a2a9-4908307933ae,cba70670-22a5-4347-80f7-98fbd7cee4fe,10.0.1.8,8b914f97-80db-4e57-83bf-ff593a41d233,fa24ce11-1a1a-44a4-b7ce-a61ddc314d54,927ca380-f617-4c86-9dff-4346bb4df21f,NA12
RedHat-Production,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,32c86ee6-cb54-4cd5-aa47-2fc3becd332a,1d866e91-bf54-489e-9972-5da26eb74ac8,10.0.0.9,8b914f97-80db-4e57-83bf-ff593a41d233,a4a9e831-1d0d-4d55-a772-9f490e11955e,1e3013e7-b249-48ab-8fd0-b72542e0f8d3,NA12
RedHat-DR,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,53e60940-1305-45c8-8ca9-77271b79bf01,cba70670-22a5-4347-80f7-98fbd7cee4fe,10.0.1.9,8b914f97-80db-4e57-83bf-ff593a41d233,a4a9e831-1d0d-4d55-a772-9f490e11955e,8d9ad3fd-1d23-4665-b840-dc056efc3cb0,NA12
RedHat-Production2,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,ae35e8d6-4cdd-4a61-989f-806958891803,1d866e91-bf54-489e-9972-5da26eb74ac8,10.0.0.10,8b914f97-80db-4e57-83bf-ff593a41d233,a4a9e831-1d0d-4d55-a772-9f490e11955e,8750482f-9053-4cfc-ad66-e1f7d5561cee,NA12
Redhat-DR2,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,4d7fe17f-662f-48e0-898f-b7614271926d,cba70670-22a5-4347-80f7-98fbd7cee4fe,10.0.1.10,8b914f97-80db-4e57-83bf-ff593a41d233,a4a9e831-1d0d-4d55-a772-9f490e11955e,45913d75-1b0f-404e-b85d-58fe440c71b3,NA12
linuxserver,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,31f80852-ea1a-4a3f-a5c8-94da22bb6820,4ffb50d0-3cbc-4ef2-8c56-a27cbe447413,192.168.5.8,5a16cfe3-d01e-455b-8a5e-b6eeb52ef9ee,f78da8fa-986b-4c98-8f87-dc3c2f9e5987,c4eb2bda-4975-48a2-97a8-0d98c77072a5,NA9
WinBackup,Backup server testing,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,d4317769-cf29-4ccc-8f51-f36aa1e611ed,f886ab5d-6b95-4121-9f32-4ac8a02a559c,10.0.0.8,53206c98-dd27-4f86-8b3d-34b8679e1e09,8bc629a9-8d71-4b1b-8b26-acdc077edab1,5b6050ba-ca94-4255-8611-4d2033059924,NA9
LinuxBackupTest,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,bc4a679b-6975-4271-9c1d-ba5eb15f36c3,f886ab5d-6b95-4121-9f32-4ac8a02a559c,10.0.0.9,53206c98-dd27-4f86-8b3d-34b8679e1e09,f78da8fa-986b-4c98-8f87-dc3c2f9e5987,766faba5-f071-4df6-85e9-d4cfa7c1d165,NA9
WinBackup2,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,1e4473a2-2d42-42f1-9423-5b1de6baf11c,f886ab5d-6b95-4121-9f32-4ac8a02a559c,10.0.0.11,53206c98-dd27-4f86-8b3d-34b8679e1e09,8bc629a9-8d71-4b1b-8b26-acdc077edab1,ddd538a3-d691-41bf-958b-42d062db2778,NA9
LinuxBackup2,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,3b2f574e-2e15-4188-86d6-6b5c5f9eb28f,f886ab5d-6b95-4121-9f32-4ac8a02a559c,10.0.0.10,53206c98-dd27-4f86-8b3d-34b8679e1e09,f78da8fa-986b-4c98-8f87-dc3c2f9e5987,19b66754-435e-48a0-abf9-7195f2c8697e,NA9
Secure2,,2015-11-17T19:39:07.046Z,REDHAT564,REDHAT5/64,4,4,NULL,NULL,79ec5c82-7879-4f6b-80ab-b010b6a82c05,36a93259-5a95-42e4-ae16-79b8bd6fdba7,10.0.0.10,4ba393b5-6f43-41df-a461-54b3304ed00f,c3c4a947-56f4-498f-8833-70996b8c2643,4adc0b87-fe86-4d23-8042-3db6838dae8a,NA9
Checkpoint V2,,2015-11-17T19:39:07.046Z,REDHAT564,REDHAT5/64,4,4,NULL,NULL,33cdd4c0-3f28-4c77-803d-f48d86fff480,36a93259-5a95-42e4-ae16-79b8bd6fdba7,10.0.0.9,4ba393b5-6f43-41df-a461-54b3304ed00f,c3c4a947-56f4-498f-8833-70996b8c2643,2fc79bc5-59a0-416a-841a-33ebeb4ef738,NA9
HDP_Node1,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,4,8,NULL,NULL,df881883-7d3f-4bdc-9206-45f6b04eab50,710c6348-a711-456b-ab38-65fe0c713697,192.168.1.8,b6c2afb2-07a9-4d9e-a118-b0c949a1e8f5,f01c4607-c457-4ce8-8a77-152a296d847b,3ac2da52-241d-4c9c-8828-fdcc6e2a3313,NA9
DevelopmentLinux,Installed with Ruby,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,b6276724-7307-49d1-871d-ced536d24dd9,744d3e04-e1f9-4424-90f3-bb2d3a083034,172.16.0.8,b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,a4a9e831-1d0d-4d55-a772-9f490e11955e,bd18f93f-c318-466e-9cb2-f3b5ae89f8f6,NA12
